ORIGIN_AIRPORT_ID,DEP_DELAY_OR_NOT,DEP_DEL15,AIRPORT,AIRPORT_NAME,AIRPORT_CITY,AIRPORT_STATE,LATITUDE,LONGITUDE
10135,4545,4473,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",PA,40.65222222,-75.44055556
10136,2110,2069,ABI,Abilene Regional,"Abilene, TX",TX,32.41138889,-99.68194444
10140,23688,23316,ABQ,Albuquerque International Sunport,"Albuquerque, NM",NM,35.03888889,-106.60833333
10141,746,730,ABR,Aberdeen Regional,"Aberdeen, SD",SD,45.44666667,-98.4225
10146,1018,1011,ABY,Southwest Georgia Regional,"Albany, GA",GA,31.53555556,-84.19444444
10154,1041,1006,ACK,Nantucket Memorial,"Nantucket, MA",MA,41.25305556,-70.06
10155,1698,1627,ACT,Waco Regional,"Waco, TX",TX,31.61222222,-97.23027778
10157,1666,1588,ACV,California Redwood Coast Humboldt County,"Arcata/Eureka, CA",CA,40.97777778,-124.10833333
10158,3245,3219,ACY,Atlantic City International,"Atlantic City, NJ",NJ,39.4575,-74.57722222
10185,3319,3261,AEX,Alexandria International,"Alexandria, LA",LA,31.3275,-92.54861111
10208,4635,4556,AGS,Augusta Regional at Bush Field,"Augusta, GA",GA,33.37,-81.96444444
10257,12233,11947,ALB,Albany International,"Albany, NY",NY,42.74916667,-73.80194444
10268,691,662,ALO,Waterloo Regional,"Waterloo, IA",IA,42.55694444,-92.40027778
10279,5388,5233,AMA,Rick Husband Amarillo International,"Amarillo, TX",TX,35.21944444,-101.70583333
10333,623,604,APN,Alpena County Regional,"Alpena, MI",MI,45.07805556,-83.56027778
10361,270,234,ART,Watertown International,"Watertown, NY",NY,43.99194444,-76.01944444
